time,region,C,D,V,RR,GP,P,TS,W,R
0,2,0.000290352,2.22801E-06,0.000950868,-35.28571429,-34,20.57142857,-27.71428571,-64.14285714,11.85714286
1,2,0.000287399,1.9774E-06,0.000833152,-28.57142857,-20.57142857,-20.71428571,-12.28571429,-27.28571429,7.142857143
2,2,0.000288927,2.47365E-06,0.001068704,-28.71428571,-21,-23.85714286,-11.85714286,-24,3.857142857
3,2,0.000289956,2.47181E-06,0.000613157,-25.85714286,-17.85714286,-20.71428571,-9,-20.14285714,4
4,2,0.000286508,3.46469E-06,0.001436575,-25.57142857,-16,-21.14285714,-8.714285714,-21.42857143,3.714285714
5,2,0.000281325,5.948E-06,0.003691434,-27.85714286,-18.14285714,-39.14285714,-11.42857143,-22.28571429,4.857142857
6,2,0.00026695,6.19207E-06,0.005516122,-19.14285714,-10.85714286,-26.28571429,-5,-20.14285714,3.571428571
7,2,0.000247625,5.93908E-06,0.004784211,-24.28571429,-16,-40.42857143,-15,-19.14285714,6.428571429
8,2,0.000234281,5.18974E-06,0.004237361,-18.85714286,-9.285714286,-22,0.571428571,-17.42857143,3.857142857
9,2,0.000226167,4.9377E-06,0.003441419,-18.85714286,-8.714285714,-23.14285714,-2.571428571,-25.28571429,3.714285714
10,2,0.000208876,4.43777E-06,0.002504916,-17.42857143,-7.428571429,-6.714285714,1.714285714,-16.71428571,2.714285714
11,2,0.000191359,4.18645E-06,0.001993846,-17.28571429,-6.428571429,-11.71428571,4,-16.71428571,2.428571429
12,2,0.000183533,5.42308E-06,0.004618834,-13.14285714,-5,2.714285714,7.714285714,-19.85714286,1.142857143
13,2,0.000176704,5.6669E-06,0.006250233,-15.71428571,-5.571428571,5.714285714,5.285714286,-17.28571429,1.428571429
14,2,0.000172361,5.41495E-06,0.007616213,-6,2.285714286,69.14285714,18.42857143,-13.85714286,-1.285714286
15,2,0.000167528,4.42027E-06,0.007882519,-11,-1.142857143,39.57142857,13.14285714,-14.28571429,-1.571428571
16,2,0.000166168,4.41703E-06,0.007544213,-9.714285714,-0.714285714,15.14285714,8.714285714,-14,0
17,2,0.000161836,4.41374E-06,0.005424115,-18.28571429,-8.571428571,56.57142857,-1.285714286,-42.28571429,-2.285714286
18,2,0.0001538,4.16309E-06,0.004583672,-11.57142857,-3.142857143,120.8571429,9.142857143,-39.14285714,-4.571428571
19,2,0.00015245,4.90192E-06,0.005960232,-4.571428571,6.714285714,85,20.57142857,-17.71428571,-6.714285714
20,2,0.000150857,3.41507E-06,0.00649502,-2.285714286,9.428571429,87.42857143,16.71428571,-16.71428571,-6.428571429
21,2,0.000152473,2.67116E-06,0.00582768,-4.142857143,5.428571429,82.85714286,13.42857143,-19.85714286,-5.714285714
22,2,0.00015236,2.17513E-06,0.005213716,-5.571428571,4,79.42857143,11.57142857,-22.71428571,-6.285714286
23,2,0.000162375,4.64293E-06,0.004767385,-7.714285714,1,74,8.714285714,-33.57142857,-6
24,2,0.000194096,5.38002E-06,0.017569492,-9,-0.285714286,73.71428571,8.142857143,-29.28571429,-7.285714286
25,2,0.00024281,6.36308E-06,0.024015861,-11.71428571,-0.571428571,67.14285714,6.428571429,-30.85714286,-8.142857143
26,2,0.000309724,8.82503E-06,0.030501482,-12.71428571,-2.714285714,81.42857143,6.857142857,-33.14285714,-7
27,2,0.000377307,9.06515E-06,0.020557195,-11.57142857,-2,78.42857143,5.714285714,-34.85714286,-6.428571429
28,2,0.000422133,9.79789E-06,0.014127548,-15.71428571,-5.857142857,66.42857143,0.142857143,-42,-5.428571429
29,2,0.000435374,1.10226E-05,0.016322612,-11.28571429,-2.714285714,65.85714286,3,-34.57142857,-4.714285714
30,2,0.000441211,1.47091E-05,0.015730813,-12.28571429,-3.428571429,63.28571429,4,-34.57142857,-4.714285714
31,2,0.000469697,1.54369E-05,0.013793447,-9.571428571,-2.857142857,67,4.714285714,-34.71428571,-5
32,2,0.000493222,1.93635E-05,0.012717547,-8.142857143,-1,73.71428571,7.142857143,-34.71428571,-4.857142857
33,2,0.000508852,2.30397E-05,0.010659264,-9.714285714,-1,83.71428571,6.142857143,-34.71428571,-5
34,2,0.000515614,2.47444E-05,0.009441974,-1.714285714,4.142857143,74.57142857,12.85714286,-32.85714286,-3
35,2,0.000514249,2.57096E-05,0.008264729,-8.428571429,1,25.42857143,9.857142857,-32,-0.142857143
36,2,0.000528863,2.66738E-05,0.00695368,-7,3.285714286,40.57142857,13.14285714,-30.42857143,-1.142857143
37,2,0.000560903,3.00936E-05,0.006116497,-9.428571429,1.428571429,28.85714286,8.285714286,-29.28571429,1.285714286
38,2,0.0006769,3.4492E-05,0.006198042,-11.42857143,0,23.14285714,6,-26.57142857,1.714285714
39,2,0.000900287,4.30588E-05,0.009123339,-12,1.857142857,21.71428571,6.285714286,-27.14285714,2.857142857
40,2,0.001089321,5.87328E-05,0.017083057,-15,0.857142857,42.71428571,3.714285714,-31.14285714,2.571428571
41,2,0.001135382,6.13883E-05,0.032192012,-16.57142857,0.857142857,24.85714286,4.428571429,-22.85714286,2.714285714
42,2,0.001140676,6.01172E-05,0.027662686,-16.57142857,1.285714286,11.14285714,2.142857143,-21,3.428571429
43,2,0.001143518,5.66413E-05,0.019051363,-19.57142857,-2,4.571428571,-5.857142857,-38.42857143,6
44,2,0.001143662,4.70433E-05,0.014471339,-24.71428571,-7.428571429,-5.857142857,-10.28571429,-34.57142857,6.285714286
45,2,0.001155569,5.21531E-05,0.021358682,-15.42857143,2,-2,4.142857143,-20.42857143,3.428571429
46,2,0.001147862,5.57877E-05,0.019254291,-18.57142857,-0.714285714,-6,2.428571429,-17.28571429,3.428571429
47,2,0.001131113,5.74603E-05,0.016684066,-18.14285714,0,-4,2.714285714,-17.28571429,3.571428571
48,2,0.001048073,5.74183E-05,0.013317525,-20.14285714,-2.571428571,-9,-1.142857143,-17.85714286,4.571428571
49,2,0.000877812,4.97942E-05,0.0130286,-15.28571429,1.857142857,-1.714285714,0.285714286,-15.71428571,3.714285714
50,2,0.000784986,3.85105E-05,0.009278055,-12.71428571,1.571428571,7.285714286,6.285714286,-14.14285714,3.285714286
51,2,0.000519712,3.70159E-05,0.007259018,-3.714285714,14.14285714,-5.285714286,9.714285714,-15.71428571,2.714285714
52,2,0.000397422,1.69545E-05,0.001749201,-33.42857143,-21.85714286,18.14285714,-29.14285714,-70.57142857,11.85714286
53,2,0.000343637,1.84073E-05,0.008846526,-24.71428571,-10.42857143,5.571428571,-7,-31.14285714,6.571428571
0,16,0.00015811,5.87835E-06,0.000618046,-22.71428571,-26.28571429,33.57142857,-27.71428571,-63.14285714,11.85714286
1,16,0.00016205,3.05039E-06,0.000357793,-27.42857143,-19,-18.14285714,-21.85714286,-26.57142857,6.857142857
2,16,0.000161623,5.86756E-06,0.001420182,-27.42857143,-16.57142857,-24.71428571,-14.57142857,-19.57142857,3
3,16,0.000151718,8.16782E-06,0.000878245,-25.28571429,-14.28571429,-17.42857143,-15.57142857,-16.85714286,2.428571429
4,16,0.000150023,2.26835E-06,0.00066961,-24,-14.14285714,-22,-16.14285714,-16.85714286,2.142857143
5,16,0.000140395,2.26599E-06,0.005225384,-25.85714286,-16.28571429,-38.71428571,-18.57142857,-16.85714286,3.285714286
6,16,0.000115431,4.05467E-06,0.007467961,-19.85714286,-11.42857143,-28,-14,-15.42857143,2.857142857
7,16,9.61311E-05,4.56192E-06,0.002778298,-22.57142857,-14.85714286,-38.42857143,-21.85714286,-19.71428571,5.857142857
8,16,9.06625E-05,6.09074E-06,0.003389606,-17.57142857,-8.571428571,-24.57142857,-7.857142857,-12.14285714,2.142857143
9,16,8.67376E-05,5.82897E-06,0.002563752,-15.85714286,-7.428571429,-22.57142857,-11.85714286,-21.42857143,2.428571429
10,16,8.51156E-05,4.29094E-06,0.002758463,-18.57142857,-9,-18.14285714,-9.571428571,-12.71428571,2
11,16,7.60953E-05,4.28648E-06,0.003027645,-13,-6.857142857,-11.42857143,-6.142857143,-17.57142857,1.285714286
12,16,6.32631E-05,2.75164E-06,0.004969648,-12.42857143,-6.142857143,-9.285714286,-4.857142857,-17.14285714,1.142857143
13,16,5.83525E-05,3.25863E-06,0.006584344,-12.57142857,-6,-7.285714286,-5.857142857,-11.85714286,1.142857143
14,16,5.65097E-05,2.23607E-06,0.006446312,-8.714285714,-2,16.42857143,-0.857142857,-11.71428571,-0.285714286
15,16,5.82339E-05,2.23376E-06,0.007086504,-10.57142857,-3.428571429,9.285714286,-1.857142857,-11.57142857,-1
16,16,6.17373E-05,2.48599E-06,0.007200589,-9.571428571,-2.428571429,6.285714286,-0.714285714,-10.28571429,-1
17,16,6.0147E-05,2.48342E-06,0.004701984,-11.42857143,-6.571428571,32.57142857,-7.857142857,-40.71428571,-0.142857143
18,16,5.85578E-05,1.71799E-06,0.004670154,-10.28571429,-3.142857143,74.14285714,0.714285714,-39.14285714,-3
19,16,5.46865E-05,1.97039E-06,0.007305912,-4.285714286,6.714285714,54.85714286,11.14285714,-13,-7.142857143
20,16,5.3614E-05,2.22237E-06,0.008285976,-4.714285714,5.285714286,40.28571429,6.142857143,-14.71428571,-4.857142857
