Date,Cases,Deaths,Retail_&_Recreation,Grocery_&_Pharmacy,Parks,Transit_stations,Workplaces,Residential,Vaccinated,Fully_Vaccinated,Revaccinated
2/15/2020,0,0,9,4,-11,8,4,-1,0,0,0
2/16/2020,0,0,7,7,-13,5,3,-1,0,0,0
2/17/2020,0,0,5,3,2,3,-1,1,0,0,0
2/18/2020,0,0,9,6,13,6,-1,0,0,0,0
2/19/2020,0,0,8,4,8,4,-2,0,0,0,0
2/20/2020,0,0,13,9,28,8,-3,-1,0,0,0
2/21/2020,0,0,10,6,32,9,-3,-1,0,0,0
2/22/2020,0,0,10,6,2,11,2,-3,0,0,0
2/23/2020,0,0,4,2,-18,0,-1,-2,0,0,0
2/24/2020,0,0,6,2,45,-25,-69,15,0,0,0
2/25/2020,0,0,4,4,11,6,4,-1,0,0,0
2/26/2020,0,0,1,0,1,4,4,-1,0,0,0
2/27/2020,0,0,2,2,4,5,3,-1,0,0,0
2/28/2020,0,0,5,4,12,6,4,-1,0,0,0
2/29/2020,0,0,7,4,-12,9,7,-1,0,0,0
3/1/2020,0,0,7,8,22,10,4,-1,0,0,0
3/2/2020,1,0,0,2,-5,3,4,0,0,0,0
3/3/2020,2,0,5,7,2,6,4,-1,0,0,0
3/4/2020,3,0,8,8,9,7,4,-1,0,0,0
3/5/2020,4,0,13,14,16,9,3,-2,0,0,0
3/6/2020,6,0,8,9,7,9,3,-1,0,0,0
3/7/2020,7,0,12,12,-3,13,4,-3,0,0,0
3/8/2020,9,0,15,12,4,8,-3,-3,0,0,0
3/9/2020,12,0,12,5,94,-21,-69,14,0,0,0
3/10/2020,14,0,0,2,5,5,2,0,0,0,0
3/11/2020,15,0,2,3,7,6,2,-1,0,0,0
3/12/2020,21,0,5,5,17,5,2,-1,0,0,0
3/13/2020,26,0,-1,1,-10,0,0,1,0,0,0
3/14/2020,35,0,4,7,-11,5,6,-1,0,0,0
3/15/2020,35,0,-5,5,-34,-5,1,1,0,0,0
3/16/2020,53,0,3,15,8,1,-3,1,0,0,0
3/17/2020,55,0,5,29,24,-3,-9,2,0,0,0
3/18/2020,86,0,-3,15,12,-8,-13,4,0,0,0
3/19/2020,98,0,-8,7,13,-12,-16,5,0,0,0
3/20/2020,131,0,-13,0,-10,-15,-18,6,0,0,0
3/21/2020,137,0,-20,-7,-38,-18,-7,3,0,0,0
3/22/2020,191,0,-21,-5,-28,-20,-4,2,0,0,0
3/23/2020,262,0,-17,-6,-11,-23,-25,8,0,0,0
3/24/2020,290,0,-16,-4,1,-22,-26,9,0,0,0
3/25/2020,410,2,-14,1,14,-21,-27,8,0,0,0
3/26/2020,546,2,-15,2,22,-22,-29,8,0,0,0
3/27/2020,703,3,-19,-1,7,-23,-30,8,0,0,0
3/28/2020,817,5,-50,-18,-25,-36,-27,6,0,0,0
3/29/2020,1014,6,-57,-22,-35,-44,-26,5,0,0,0
3/30/2020,1226,6,-63,-36,-63,-66,-66,25,0,0,0
3/31/2020,1613,11,-67,-41,-67,-69,-70,28,0,0,0
4/1/2020,1880,16,-67,-40,-67,-70,-71,29,0,0,0
4/2/2020,2475,19,-67,-38,-66,-71,-71,29,0,0,0
4/3/2020,2923,20,-67,-38,-66,-70,-70,30,0,0,0
4/4/2020,3357,27,-70,-43,-76,-67,-47,15,0,0,0
4/5/2020,3893,29,-70,-41,-75,-67,-41,12,0,0,0
4/6/2020,4484,29,-63,-35,-60,-66,-65,26,0,0,0
4/7/2020,5181,31,-60,-31,-53,-64,-65,25,0,0,0
4/8/2020,5841,31,-62,-35,-57,-64,-65,25,0,0,0
4/9/2020,6698,38,-60,-30,-46,-61,-64,24,0,0,0
4/10/2020,7822,50,-63,-34,-60,-63,-64,25,0,0,0
4/11/2020,8852,58,-66,-36,-76,-62,-41,13,0,0,0
4/12/2020,10158,72,-64,-30,-69,-60,-32,9,0,0,0
4/13/2020,11513,82,-64,-38,-60,-67,-66,26,0,0,0
4/14/2020,13002,95,-64,-36,-65,-68,-66,26,0,0,0
4/15/2020,14776,106,-69,-44,-69,-71,-69,29,0,0,0
4/16/2020,16146,113,-69,-42,-71,-73,-69,30,0,0,0
4/17/2020,18105,127,-67,-38,-70,-72,-68,30,0,0,0
4/18/2020,20754,148,-70,-41,-81,-71,-48,17,0,0,0
4/19/2020,24324,176,-75,-50,-78,-72,-45,13,0,0,0
4/20/2020,26350,204,-66,-42,-63,-70,-67,27,0,0,0
4/21/2020,29433,233,-64,-37,-62,-68,-66,27,0,0,0
4/22/2020,31981,261,-66,-41,-67,-70,-67,28,0,0,0
4/23/2020,33940,288,-64,-36,-62,-68,-66,27,0,0,0
4/24/2020,36897,325,-66,-39,-67,-69,-66,28,0,0,0
4/25/2020,39509,366,-69,-43,-78,-68,-45,15,0,0,0
4/26/2020,42480,404,-67,-37,-66,-64,-36,10,0,0,0
4/27/2020,45351,435,-63,-37,-57,-66,-65,25,0,0,0
4/28/2020,48426,479,-61,-32,-55,-65,-64,25,0,0,0
4/29/2020,50646,546,-61,-33,-59,-65,-64,25,0,0,0
4/30/2020,53739,611,-57,-26,-54,-62,-63,23,0,0,0
5/1/2020,57300,658,-66,-38,-58,-72,-78,29,0,0,0
5/2/2020,62658,695,-70,-45,-70,-66,-40,12,0,0,0
5/3/2020,68606,729,-68,-40,-61,-62,-24,7,0,0,0
5/4/2020,74401,764,-66,-41,-57,-72,-77,26,0,0,0
5/5/2020,80115,816,-65,-37,-54,-71,-76,25,0,0,0
5/6/2020,85973,866,-63,-37,-59,-65,-65,24,0,0,0
5/7/2020,92676,905,-61,-32,-51,-64,-64,24,0,0,0
5/8/2020,98522,956,-63,-35,-61,-65,-64,25,0,0,0
5/9/2020,104189,1010,-70,-44,-70,-66,-42,13,0,0,0
5/10/2020,109740,1068,-68,-41,-68,-63,-25,8,0,0,0
5/11/2020,115909,1124,-57,-26,-29,-65,-75,20,0,0,0
5/12/2020,121301,1179,-59,-33,-51,-59,-58,20,0,0,0
5/13/2020,126004,1232,-58,-31,-54,-60,-59,22,0,0,0
5/14/2020,130716,1290,-58,-30,-50,-59,-58,22,0,0,0
5/15/2020,135464,1358,-58,-29,-51,-57,-57,21,0,0,0
5/16/2020,138969,1432,-63,-36,-68,-57,-30,9,0,0,0
5/17/2020,142824,1503,-63,-34,-64,-57,-22,6,0,0,0
5/18/2020,146062,1580,-58,-32,-54,-58,-57,20,0,0,0
5/19/2020,149607,1651,-55,-27,-47,-56,-56,20,0,0,0
5/20/2020,152306,1726,-56,-29,-49,-55,-56,20,0,0,0
5/21/2020,155219,1794,-56,-28,-52,-57,-57,20,0,0,0
5/22/2020,158207,1867,-58,-30,-56,-58,-56,21,0,0,0
5/23/2020,161397,1934,-62,-34,-70,-56,-29,10,0,0,0
5/24/2020,163913,1993,-61,-31,-63,-55,-23,5,0,0,0
5/25/2020,166473,2034,-51,-23,-28,-51,-54,17,0,0,0
5/26/2020,169303,2110,-52,-23,-31,-51,-53,17,0,0,0
5/27/2020,171443,2183,-52,-23,-30,-50,-53,17,0,0,0
5/28/2020,173497,2254,-49,-19,-16,-48,-52,15,0,0,0
5/29/2020,175829,2330,-59,-34,-57,-56,-54,19,0,0,0
5/30/2020,178196,2408,-56,-28,-48,-47,-18,4,0,0,0
5/31/2020,180791,2477,-63,-36,-71,-56,-18,3,0,0,0
6/1/2020,183088,2553,-44,-20,-41,-46,-49,14,0,0,0
6/2/2020,185374,2624,-45,-22,-42,-46,-49,16,0,0,0
6/3/2020,187216,2685,-44,-21,-39,-45,-49,16,0,0,0
6/4/2020,189214,2749,-41,-16,-21,-42,-48,14,0,0,0
6/5/2020,191069,2806,-45,-21,-36,-43,-48,14,0,0,0
6/6/2020,193061,2864,-44,-20,-26,-34,-11,1,0,0,0
6/7/2020,195017,2919,-39,-13,5,-30,0,-3,0,0,0
6/8/2020,197018,2970,-34,-11,34,-36,-44,9,0,0,0
6/9/2020,198590,3029,-29,-8,39,-31,-42,8,0,0,0
6/10/2020,199785,3085,-34,-13,4,-33,-42,8,0,0,0
6/11/2020,201221,3138,-26,-2,43,-27,-42,5,0,0,0
6/12/2020,202935,3187,-41,-22,6,-48,-67,13,0,0,0
6/13/2020,204428,3231,-46,-29,-40,-39,-10,0,0,0,0
6/14/2020,205905,3281,-34,-12,12,-21,7,-8,0,0,0
6/15/2020,207264,3334,-26,-7,32,-26,-40,5,0,0,0
6/16/2020,208680,3386,-23,-3,55,-22,-39,5,0,0,0
6/17/2020,209745,3434,-25,-4,56,-22,-40,5,0,0,0
6/18/2020,210785,3483,-28,-7,43,-24,-40,5,0,0,0
6/19/2020,211921,3531,-32,-11,24,-26,-40,6,0,0,0
6/20/2020,212978,3565,-39,-21,-19,-25,-3,-3,0,0,0
6/21/2020,213946,3597,-31,-11,-1,-19,5,-6,0,0,0
6/22/2020,215014,3617,-23,-6,53,-21,-40,4,0,0,0
6/23/2020,216095,3643,-18,-3,50,-18,-40,3,0,0,0
6/24/2020,216906,3657,-18,-5,116,-31,-64,11,0,0,0
